timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
32672,1000,-798,-180,940,-2441,11476,8,8,864,791,0,6128,-19996,-9999,2542
32672,1000,-798,-180,940,-2441,11476,8,8,864,791,0,6747,-19996,-9999,2542
32810,687,-798,-150,1000,-1801,7816,8,8,735,853,0,5925,-19996,29997,2023
32810,687,-798,-150,1000,-1801,7816,8,8,735,853,0,6267,-19996,29997,2023
32814,-846,-798,-150,1000,-1801,7816,8,8,735,853,0,6674,-19996,29997,2023
32831,-997,-798,-150,1000,-1801,7816,8,8,735,853,0,6324,-19996,29997,2023
32960,-997,-798,-228,929,-596,10351,8,8,727,856,0,5974,-4681,-9999,1024
32961,-997,-798,-228,929,-596,10351,8,8,727,856,0,6657,-4681,-9999,1024
32962,-997,-798,-228,929,-596,10351,8,8,727,856,0,7072,-4681,-9999,1024
33123,-997,-798,-544,861,-3671,10953,8,8,863,880,0,7935,29997,-9999,2877
33126,-997,-798,-544,861,-3671,10953,8,8,863,880,0,30000,29997,-9999,2877
33128,-997,-798,-544,861,-3671,10953,8,8,863,880,0,30000,29997,-9999,2877
33131,-997,-798,-544,861,-3671,10953,8,8,863,880,0,30000,29997,-9999,2877
33151,-997,-798,-544,861,-3671,10953,8,8,863,880,0,30000,29997,-9999,2877
33319,-997,-798,-856,783,-8236,10121,8,8,2842,2713,0,7829,29997,-9999,6628
33320,-997,-798,-856,783,-8236,10121,8,8,2842,2713,0,30000,29997,-9999,6628
33321,-997,-798,-856,783,-8236,10121,8,8,2842,2713,0,30000,29997,-9999,6628
33321,-997,-798,-856,783,-8236,10121,8,8,2842,2713,0,30000,29997,-9999,6628
33511,-997,-798,-940,694,-11310,8390,8,8,3016,2975,0,17605,-9999,-9999,9906
33512,-997,-798,-940,694,-11310,8390,8,8,3016,2975,0,15260,-9999,-9999,9906
33515,-997,-798,-940,694,-11310,8390,8,8,3016,2975,0,30000,-9999,-9999,9906
33518,-997,-798,-940,694,-11310,8390,8,8,3016,2975,0,30000,-9999,-9999,9906
33518,-997,-798,-940,694,-11310,8390,8,8,3016,2975,0,30000,-9999,-9999,9906
33700,-997,-798,-940,744,-10545,3970,8,8,2714,2708,0,7325,-9999,29997,10353
33701,-997,-798,-940,744,-10545,3970,8,8,2714,2708,0,7431,-9999,29997,10353
33701,-997,-798,-940,744,-10545,3970,8,8,2714,2708,0,7512,-9999,29997,10353
33702,-997,-798,-940,744,-10545,3970,8,8,2714,2708,0,7496,-9999,29997,10353
33711,-997,-798,-940,744,-10545,3970,8,8,2714,2708,0,8025,-9999,29997,10353
33881,-997,-798,-963,656,-9179,3902,8,8,1257,1334,0,6397,-9999,29997,9531
33882,-997,-798,-963,656,-9179,3902,8,8,1257,1334,0,6454,-9999,29997,9531
33883,-997,-798,-963,656,-9179,3902,8,8,1257,1334,0,7252,-9999,29997,9531
33883,-997,-798,-963,656,-9179,3902,8,8,1257,1334,0,6804,-9999,29997,9531
34044,-997,-798,-940,573,-10755,3857,8,8,936,960,0,5835,-9999,29997,10388
34044,-997,-798,-940,573,-10755,3857,8,8,936,960,0,6926,-9999,29997,10388
34045,-576,-410,-940,573,-10755,3857,8,8,936,960,0,6779,-9999,29997,10388
34046,-576,-410,-940,573,-10755,3857,8,8,936,960,0,7504,-9999,29997,10388
34202,-423,-184,-1000,358,-6804,3906,8,8,834,922,0,5868,29997,-9999,7879
34375,-423,-184,-794,295,-8482,0,8,8,1465,213,0,5518,-9999,-9999,8301
34378,0,0,-794,295,-8482,0,8,8,1465,213,0,5363,-9999,-9999,8301
34379,0,0,-794,295,-8482,0,8,8,1465,213,0,170,-9999,-9999,8301
34380,0,0,-794,295,-8482,0,8,8,1465,213,0,5762,-9999,-9999,8301
34380,0,0,-794,295,-8482,0,8,8,1465,213,0,5917,-9999,-9999,8301
34381,0,0,-794,295,-8482,0,8,8,1465,213,0,6079,-9999,-9999,8301
34381,0,0,-794,295,-8482,0,8,8,1465,213,0,5209,-9999,-9999,8301
34391,0,0,-794,295,-8482,0,8,8,1465,213,0,65,-9999,-9999,8301
34494,0,0,-608,189,0,2128,8,8,258,144,0,5005,-14997,-14997,7471
34495,0,0,-608,189,0,2128,8,8,258,144,0,5355,-14997,-14997,7471
34511,0,0,-608,189,0,2128,8,8,258,144,0,6316,-14997,-14997,7471
34587,0,0,-501,150,0,0,8,8,156,169,0,4647,-14997,-14997,6724
34591,0,0,-501,150,0,0,8,8,156,169,0,6039,-14997,-14997,6724
34657,0,0,-415,0,0,0,8,0,166,151,0,4859,-14997,-14997,6051
34671,0,0,-415,0,0,0,8,0,166,151,0,325,-14997,-14997,6051
34720,0,0,-351,0,0,0,8,0,167,150,0,4793,-4999,-4999,5446
34780,0,0,-291,0,0,0,8,0,155,135,0,4883,-4999,-4999,4901
34791,0,0,-291,0,0,0,8,0,155,135,0,6389,-4999,-4999,4901
34831,0,0,-237,0,0,0,8,0,166,150,0,5119,-4999,-4999,4411
34879,0,0,-190,0,0,0,8,0,153,168,0,5038,-9998,-9998,3970
34927,0,0,-150,0,0,0,8,0,162,159,0,4964,-9998,-9998,3573
34969,0,0,-150,0,0,0,8,0,167,157,0,5371,-9998,-9998,3216
34991,0,0,-150,0,0,0,8,0,167,157,0,6381,-9998,-9998,3216
35031,0,0,0,0,0,0,0,0,156,175,0,6291,0,0,0
35071,0,0,0,0,0,0,0,0,174,157,0,6259,0,0,0
